year,month,day,hour,minute,second,Ta,qa,Psfc,U,SW,PPT
2023,3,9,22,15,0,272.1675,0.0035428749999999926,72728.37500000001,2.889820050000011,434.8080000000192,0.0
2023,3,9,22,30,0,272.155,0.0035534500000000144,72708.74999999997,2.873336599999978,406.63999999996156,0.0
2023,3,9,22,45,0,272.1425,0.003564025000000007,72689.12499999999,2.856853149999989,378.47199999998077,0.0
2023,3,9,23,0,0,272.13,0.0035746,72669.5,2.8403697,350.304,0.0
2023,3,9,23,15,0,272.11749999999995,0.003585225000000014,72649.84999999998,2.8244044249999787,332.8719999999762,0.0
2023,3,9,23,30,0,272.105,0.00359585,72630.2,2.80843915,315.44,0.0
2023,3,9,23,45,0,272.09250000000003,0.0036064749999999853,72610.55000000002,2.792473875000022,298.0080000000238,0.0
2023,3,10,0,0,0,272.08,0.0036171,72590.9,2.7765086,280.576,0.0
2023,3,10,0,15,0,271.6000000000003,0.003511250000000072,72585.625,2.8495556499999504,244.77000000002442,0.0
2023,3,10,0,30,0,271.1200000000007,0.0034054000000001442,72580.35,2.9226026999999,208.96400000004888,0.0
2023,3,10,0,45,0,270.63999999999965,0.0032995499999999276,72575.075,2.99564975000005,173.15799999997557,0.0
2023,3,10,1,0,0,270.16,0.0031937,72569.8,3.0686968,137.352,0.0
2023,3,10,1,15,0,269.67750000000035,0.003087725000000072,72564.4,3.1431913249999495,103.01400000002343,0.0
2023,3,10,1,30,0,269.19499999999937,0.0029817499999998556,72559.0,3.2176858500001018,68.67599999995316,0.0
2023,3,10,1,45,0,268.7124999999997,0.002875774999999928,72553.59999999999,3.292180375000051,34.33799999997658,0.0
2023,3,10,2,0,0,268.23,0.0027698,72548.2,3.3666749,0.0,0.0
2023,3,10,2,15,0,267.7499999999993,0.0026639499999998556,72542.92499999999,3.442097375000103,0.0,0.0
2023,3,10,2,30,0,267.27,0.0025581,72537.65,3.5175198500000002,0.0,0.0
2023,3,10,2,45,0,266.79000000000065,0.0024522500000001444,72532.375,3.592942324999897,0.0,0.0
2023,3,10,3,0,0,266.31,0.0023464,72527.1,3.6683648,0.0,0.0
2023,3,10,3,15,0,266.18000000000006,0.002322850000000016,72533.3,3.652123900000011,0.0,0.0
2023,3,10,3,30,0,266.0500000000002,0.0022993000000000323,72539.5,3.635883000000022,0.0,0.0
2023,3,10,3,45,0,265.9199999999999,0.002275749999999984,72545.7,3.619642099999989,0.0,0.0
2023,3,10,4,0,0,265.79,0.0022522,72551.9,3.6034012,0.0,0.0
2023,3,10,4,15,0,265.6600000000001,0.002228625000000016,72558.22499999999,3.5884755500000103,0.0,0.0
2023,3,10,4,30,0,265.52999999999986,0.002205049999999968,72564.55,3.5735498999999793,0.0,0.0
2023,3,10,4,45,0,265.3999999999999,0.002181474999999984,72570.875,3.5586242499999896,0.0,0.0
2023,3,10,5,0,0,265.27,0.0021579,72577.2,3.5436986,0.0,0.0
2023,3,10,5,15,0,265.1399999999998,0.0021343249999999678,72583.4,3.5288113999999795,0.0,0.0
2023,3,10,5,30,0,265.01,0.0021107499999999998,72589.6,3.5139242,0.0,0.0
2023,3,10,5,45,0,264.88000000000017,0.0020871750000000322,72595.79999999999,3.4990370000000204,0.0,0.0
2023,3,10,6,0,0,264.75,0.0020636,72602.0,3.4841498,0.0,0.0
2023,3,10,6,15,0,264.61000000000007,0.0020390000000000165,72590.475,3.4906443999999954,0.0,0.0
2023,3,10,6,30,0,264.4700000000002,0.0020144000000000334,72578.95000000001,3.497138999999991,0.0,0.0
2023,3,10,6,45,0,264.3299999999999,0.001989799999999983,72567.42499999999,3.503633600000004,0.0,0.0
2023,3,10,7,0,0,264.19,0.0019652,72555.9,3.5101282,0.0,0.0
2023,3,10,7,15,0,264.05000000000007,0.0019405000000000169,72544.35,3.532391274999985,0.0,0.0
2023,3,10,7,30,0,263.90999999999985,0.0019157999999999662,72532.79999999999,3.55465435000003,0.0,0.0
2023,3,10,7,45,0,263.7699999999999,0.0018910999999999832,72521.24999999999,3.5769174250000155,0.0,0.0
2023,3,10,8,0,0,263.63,0.0018664,72509.7,3.5991805,0.0,0.0
2023,3,10,8,15,0,263.4899999999998,0.0018418499999999665,72498.32499999998,3.636521975000051,0.0,0.0
2023,3,10,8,30,0,263.35,0.0018173,72486.95,3.67386345,0.0,0.0
2023,3,10,8,45,0,263.2100000000002,0.0017927500000000335,72475.57500000001,3.711204924999949,0.0,0.0
2023,3,10,9,0,0,263.07,0.0017682,72464.2,3.7485464,0.0,0.0
2023,3,10,9,15,0,262.9575000000001,0.0017400250000000192,72474.775,3.682705525000045,0.0,0.0
2023,3,10,9,30,0,262.84500000000014,0.0017118500000000384,72485.34999999998,3.61686465000009,0.0,0.0
2023,3,10,9,45,0,262.73249999999996,0.0016836749999999808,72495.925,3.5510237749999547,0.0,0.0
2023,3,10,10,0,0,262.62,0.0016555,72506.5,3.4851829,0.0,0.0
2023,3,10,10,15,0,262.5075000000001,0.0016273000000000194,72517.22499999999,3.468525250000011,0.0,0.0
2023,3,10,10,30,0,262.39499999999987,0.0015990999999999614,72527.95000000001,3.4518675999999773,0.0,0.0
2023,3,10,10,45,0,262.28249999999997,0.0015708999999999806,72538.675,3.435209949999989,0.0,0.0
2023,3,10,11,0,0,262.17,0.0015427,72549.4,3.4185523,0.0,0.0
2023,3,10,11,15,0,262.05749999999983,0.0015144749999999616,72560.12500000001,3.4553176250000504,0.0,0.0
2023,3,10,11,30,0,261.94500000000005,0.00148625,72570.85,3.49208295,0.0,0.0
2023,3,10,11,45,0,261.83250000000015,0.0014580250000000383,72581.57499999998,3.52884827499995,0.0,0.0
2023,3,10,12,0,0,261.72,0.0014298,72592.3,3.5656136,0.0,0.0
2023,3,10,12,15,0,261.7775,0.0014404749999999927,72607.5,3.5471721000000125,0.0,0.0
2023,3,10,12,30,0,261.8349999999999,0.0014511499999999855,72622.69999999998,3.528730600000025,0.0,0.0
2023,3,10,12,45,0,261.89250000000004,0.0014618250000000073,72637.90000000002,3.510289099999987,0.0,0.0
2023,3,10,13,0,0,261.95,0.0014725,72653.1,3.4918476,0.0,0.0
2023,3,10,13,15,0,262.00999999999993,0.0014832249999999928,72668.475,3.4762362750000104,0.0,0.0
2023,3,10,13,30,0,262.07000000000005,0.0014939500000000147,72683.85000000002,3.460624949999979,0.0,0.0
2023,3,10,13,45,0,262.13000000000005,0.0015046750000000074,72699.225,3.4450136249999894,0.0,0.0
2023,3,10,14,0,0,262.19,0.0015154,72714.6,3.4294023,0.0,0.0
2023,3,10,14,15,0,262.25000000000006,0.0015260500000000145,72729.95000000003,3.416777999999983,20.027750000027325,0.0
2023,3,10,14,30,0,262.31,0.0015367,72745.3,3.4041537,40.0555,0.0
2023,3,10,14,45,0,262.3699999999999,0.0015473499999999855,72760.64999999998,3.3915294000000173,60.08324999997268,0.0
2023,3,10,15,0,0,262.43,0.001558,72776.0,3.3789051,80.111,0.0
2023,3,10,15,15,0,262.7324999999998,0.0015619999999999974,72785.325,3.638151774999823,108.5742499999806,0.0
2023,3,10,15,30,0,263.03499999999957,0.0015659999999999945,72794.65,3.8973984499996464,137.03749999996117,0.0
2023,3,10,15,45,0,263.3375000000002,0.0015700000000000028,72803.975,4.156645125000177,165.50075000001942,0.0
2023,3,10,16,0,0,263.64,0.001574,72813.3,4.4158918,193.964,0.0
2023,3,10,16,15,0,263.9449999999998,0.0015779749999999975,72822.72499999999,4.677699299999821,256.5144999999573,0.0
2023,3,10,16,30,0,264.2500000000004,0.0015819500000000056,72832.15000000002,4.939506800000357,319.0650000000853,0.0
2023,3,10,16,45,0,264.5550000000002,0.0015859250000000028,72841.57500000001,5.2013143000001785,381.61550000004263,0.0
2023,3,10,17,0,0,264.86,0.0015899,72851.0,5.4631218,444.166,0.0
